time,mua685nm,mua785nm,mua830nm,mua850nm,mua915nm,mua975nm,mus685nm,mus785nm,mus830nm,mus850nm,mus915nm,mus975nm,HbO2,HHb,Water,Fat
9.601,0.0006384789599999999,0.0007904707799999999,0.00098245808,0.00115243768,0.014317713400000001,0.0371539087,2.99512230932,2.99653949942,2.9987921921400003,2.99805190014,2.9995770655,2.99798692774,70.31126261127791,-24.022389672954276,44.153882339733116,55.84611766026687
9.631,0.00063653406,0.00079641674,0.00098138078,0.0011489812800000003,0.014140712120000001,0.041558514420000005,2.9942761794,2.99807604206,2.9985565571,2.99748955912,2.99893203392,2.997846883,76.32375385513801,-26.634631246585105,50.080757590248346,49.91924240975165
9.662,0.0006357719,0.0007866160599999999,0.0009820939799999998,0.0011500145400000002,0.014170698,0.03395819143999999,2.9950146938,2.99579834634,2.99901631912,2.99777426376,2.99939798162,2.9986295287000004,65.629631349923,-22.07601921041585,40.693806298203086,59.30619370179693
9.692,0.00063653406,0.00079641674,0.00097685998,0.00114501794,0.014112049299999999,0.03614265612,2.9942761794,2.99807604206,2.9975945245999998,2.99742163432,2.99907042122,2.99919079548,68.63786967055854,-23.371016253493913,43.56249963826508,56.43750036173492
9.722,0.00063653406,0.0007670178999999999,0.00098245808,0.0011489812799999998,0.013889576579999998,0.033191826560000005,2.9942761794,2.9984101295400003,2.9987921921400003,2.99748955912,2.99912351464,2.9981667952000004,64.21388607451041,-21.560897155966845,40.57074383174131,59.42925616825868
9.752,0.0006381876199999999,0.0007854565800000001,0.0009803332400000002,0.0011489812800000003,0.014303905680000001,0.03506153494000001,2.9943067285200002,2.99655214084,2.99792703312,2.99748955912,2.9994925366399996,2.9966710566,67.33545714601655,-22.76306100532886,41.65391816498782,58.346081835012164
9.782,0.0006381876199999999,0.00078265704,0.00098323466,0.0011489812800000003,0.013861400579999999,0.03282360014,2.9943067285200002,2.99726712926,2.9988769473600003,2.99748955912,2.9991423995799997,2.9982671692,63.664374779649215,-21.324511496327364,40.18989068692558,59.81010931307442
9.812,0.00064025184,0.0007816540999999999,0.0009782334,0.00115243768,0.014002743379999998,0.0371539087,2.99715765778,2.99745834402,2.99701461092,2.9980519001399997,2.9992173855599997,2.99798692774,69.93700380160158,-23.95479362132553,45.157338515470805,54.84266148452919
9.842,0.00063698632,0.0007717129999999999,0.00098138078,0.00115001454,0.014175638299999998,0.03500742006,2.99363234236,2.9979482184600004,2.9985565571,2.99777426376,2.99943439122,2.9987486256600002,67.10965168909782,-22.710893972115205,41.971033657671335,58.02896634232866
9.871,0.0006384789599999999,0.00078635056,0.00098323466,0.00115001454,0.013687445739999998,0.036532506879999996,2.99512230932,2.99577723744,2.9988769473600003,2.99777426376,2.99899575156,2.9974057370000002,68.69967738908147,-23.51601974157087,45.41899890256346,54.58100109743654
9.901,0.0006381876199999999,0.00078265704,0.0009782334,0.0011500145400000002,0.0139359871,0.0350286969,2.9943067285200002,2.99726712926,2.99701461092,2.99777426376,2.9992405555399997,2.9984236398000004,66.8604959805691,-22.666157653023877,42.730441264423895,57.2695587355761
9.931,0.0006381876199999999,0.00078008584,0.00098065348,0.00115243768,0.0139359871,0.03501750638,2.9943067285200002,2.9953724913800004,2.99788463568,2.99805190014,2.9992405555399997,2.99863950242,66.84826556893734,-22.66084609169233,42.71592651952825,57.284073480471754
9.967,0.00063653406,0.0007795959,0.00098245808,0.00115001454,0.01388686288,0.03505536984,2.9942761794,2.9950034155200003,2.9987921921400003,2.99777426376,2.99921855224,2.99771963774,66.84609512955174,-22.676495061815846,42.91662403244765,57.08337596755235
9.999,0.0006392751599999999,0.00078008584,0.00098065348,0.0011489812800000003,0.013772635879999998,0.03610738616,2.9964407991999997,2.9953724913800004,2.9978846356799997,2.99748955912,2.9990677614,2.9987314559400002,68.19228599053542,-23.278835983482573,44.602344612336175,55.39765538766381
10.029,0.00063653406,0.0007777894400000001,0.00098065348,0.0011489812800000003,0.01412932112,0.03785562676,2.9942761794,2.9958672226000003,2.99788463568,2.99748955912,2.9989282764,2.9976360192200002,71.07731514990941,-24.41227827142857,45.609615124767735,54.390384875232265
10.059,0.00063653406,0.0007717129999999999,0.00098323466,0.00115001454,0.013876878680000001,0.03327859192,2.9942761794,2.9979482184600004,2.9988769473600003,2.99777426376,2.9991278179200003,2.99854494114,64.32467586422123,-21.608860691228987,40.71741198868752,59.28258801131248
10.089,0.0006381876199999999,0.00076064124,0.00098245808,0.0011489812799999998,0.013889576579999998,0.03717194406,2.9943067285200002,2.9963471080799997,2.9987921921400003,2.99748955912,2.99912351464,2.9985425658600002,69.82795782832623,-23.953204333066658,45.551155150319325,54.448844849680675
